,code,entity,year,wind_(%_equivalent_primary_energy)
0,45,Africa,1965,0.0
1,45,Africa,1966,0.0
2,45,Africa,1967,0.0
3,45,Africa,1968,0.0
4,45,Africa,1969,0.0
5,45,Africa,1970,0.0
6,45,Africa,1971,0.0
7,45,Africa,1972,0.0
8,45,Africa,1973,0.0
9,45,Africa,1974,0.0
10,45,Africa,1975,0.0
11,45,Africa,1976,0.0
12,45,Africa,1977,0.0
13,45,Africa,1978,0.0
14,45,Africa,1979,0.0
15,45,Africa,1980,0.0
16,45,Africa,1981,0.0
17,45,Africa,1982,0.0
18,45,Africa,1983,0.0
19,45,Africa,1984,0.0
20,45,Africa,1985,0.0
21,45,Africa,1986,0.0
22,45,Africa,1987,0.0
23,45,Africa,1988,0.0
24,45,Africa,1989,0.0
25,45,Africa,1990,0.0
26,45,Africa,1991,0.0
27,45,Africa,1992,0.0
28,45,Africa,1993,0.00022305273
29,45,Africa,1994,0.00058261654
30,45,Africa,1995,0.00065329357
31,45,Africa,1996,0.00071795384
32,45,Africa,1997,0.000712964
33,45,Africa,1998,0.00074109924
34,45,Africa,1999,0.0018733632
35,45,Africa,2000,0.016238656
36,45,Africa,2001,0.03688529
37,45,Africa,2002,0.03861727
38,45,Africa,2003,0.04419306
39,45,Africa,2004,0.058660407
40,45,Africa,2005,0.05903145
41,45,Africa,2006,0.062868714
42,45,Africa,2007,0.07173857
43,45,Africa,2008,0.086830966
44,45,Africa,2009,0.10281735
45,45,Africa,2010,0.1424712
46,45,Africa,2011,0.146747
47,45,Africa,2012,0.14784506
48,45,Africa,2013,0.20420054
49,45,Africa,2014,0.27817047
50,45,Africa,2015,0.47520968
51,45,Africa,2016,0.5773521
52,45,Africa,2017,0.68148303
53,45,Africa,2018,0.71879274
54,45,Africa,2019,0.9141477
55,45,Africa,2020,0.9526749
56,45,Africa,2021,1.0620695
57,45,Africa,2022,1.107095
58,1,Africa (EI),1965,0.0
59,1,Africa (EI),1966,0.0
60,1,Africa (EI),1967,0.0
61,1,Africa (EI),1968,0.0
62,1,Africa (EI),1969,0.0
63,1,Africa (EI),1970,0.0
64,1,Africa (EI),1971,0.0
65,1,Africa (EI),1972,0.0
66,1,Africa (EI),1973,0.0
67,1,Africa (EI),1974,0.0
68,1,Africa (EI),1975,0.0
69,1,Africa (EI),1976,0.0
70,1,Africa (EI),1977,0.0
71,1,Africa (EI),1978,0.0
72,1,Africa (EI),1979,0.0
73,1,Africa (EI),1980,0.0
74,1,Africa (EI),1981,0.0
75,1,Africa (EI),1982,0.0
76,1,Africa (EI),1983,0.0
77,1,Africa (EI),1984,0.0
78,1,Africa (EI),1985,0.0
79,1,Africa (EI),1986,0.0
80,1,Africa (EI),1987,0.0
81,1,Africa (EI),1988,0.0
82,1,Africa (EI),1989,0.0
83,1,Africa (EI),1990,0.0
84,1,Africa (EI),1991,0.0
85,1,Africa (EI),1992,0.0
86,1,Africa (EI),1993,0.00022305273
87,1,Africa (EI),1994,0.00058261654
88,1,Africa (EI),1995,0.00065329357
89,1,Africa (EI),1996,0.00071795384
90,1,Africa (EI),1997,0.000712964
91,1,Africa (EI),1998,0.00074109924
92,1,Africa (EI),1999,0.0018733606
93,1,Africa (EI),2000,0.016238656
94,1,Africa (EI),2001,0.036885295
95,1,Africa (EI),2002,0.038617272
96,1,Africa (EI),2003,0.044193055
97,1,Africa (EI),2004,0.058660407
98,1,Africa (EI),2005,0.05903145
99,1,Africa (EI),2006,0.06286872
100,1,Africa (EI),2007,0.07173857
101,1,Africa (EI),2008,0.08683097
102,1,Africa (EI),2009,0.10281735
103,1,Africa (EI),2010,0.14247118
104,1,Africa (EI),2011,0.14674698
105,1,Africa (EI),2012,0.14784504
106,1,Africa (EI),2013,0.20420054
107,1,Africa (EI),2014,0.27817047
108,1,Africa (EI),2015,0.47520968
109,1,Africa (EI),2016,0.5773521
110,1,Africa (EI),2017,0.68148303
111,1,Africa (EI),2018,0.71879274
112,1,Africa (EI),2019,0.9141477
113,1,Africa (EI),2020,0.9526748
114,1,Africa (EI),2021,1.0620695
115,1,Africa (EI),2022,1.1070951
116,47,Algeria,1990,0.0
117,47,Algeria,1991,0.0
118,47,Algeria,1992,0.0
119,47,Algeria,1993,0.0
120,47,Algeria,1994,0.0
121,47,Algeria,1995,0.0
122,47,Algeria,1996,0.0
123,47,Algeria,1997,0.0
124,47,Algeria,1998,0.0
125,47,Algeria,1999,0.0
126,47,Algeria,2000,0.0
127,47,Algeria,2001,0.0
128,47,Algeria,2002,0.0
129,47,Algeria,2003,0.0
130,47,Algeria,2004,0.0
131,47,Algeria,2005,0.0
132,47,Algeria,2006,0.0
133,47,Algeria,2007,0.0
134,47,Algeria,2008,0.0
135,47,Algeria,2009,0.0
136,47,Algeria,2010,0.0
137,47,Algeria,2011,0.0
138,47,Algeria,2012,0.0
139,47,Algeria,2013,0.0
140,47,Algeria,2014,0.00046260856
141,47,Algeria,2015,0.008285812
142,47,Algeria,2016,0.008266354
143,47,Algeria,2017,0.008105944
144,47,Algeria,2018,0.003951089
145,47,Algeria,2019,0.0037963223
146,47,Algeria,2020,0.0031164202
147,47,Algeria,2021,0.003907885
148,47,Algeria,2022,0.0039970987
149,2,Argentina,1990,0.0
150,2,Argentina,1991,0.0
151,2,Argentina,1992,0.0
152,2,Argentina,1993,0.0
153,2,Argentina,1994,0.0
154,2,Argentina,1995,0.0
155,2,Argentina,1996,0.004327963
156,2,Argentina,1997,0.0064908606
157,2,Argentina,1998,0.013977314
158,2,Argentina,1999,0.014775456
159,2,Argentina,2000,0.014708434
160,2,Argentina,2001,0.021246457
161,2,Argentina,2002,0.0327373
162,2,Argentina,2003,0.032227308
163,2,Argentina,2004,0.02802891
164,2,Argentina,2005,0.025978642
165,2,Argentina,2006,0.023858363
166,2,Argentina,2007,0.020119285
167,2,Argentina,2008,0.013439119
168,2,Argentina,2009,0.012065503
169,2,Argentina,2010,0.007960149
170,2,Argentina,2011,0.008068957
171,2,Argentina,2012,0.10746326
172,2,Argentina,2013,0.12590012
173,2,Argentina,2014,0.17127606
174,2,Argentina,2015,0.16027391
175,2,Argentina,2016,0.1476486
176,2,Argentina,2017,0.16416803
177,2,Argentina,2018,0.3797175
178,2,Argentina,2019,1.4200798
179,2,Argentina,2020,2.8413703
180,2,Argentina,2021,3.505683
181,2,Argentina,2022,3.6892743
182,3,Asia,1965,0.0
183,3,Asia,1966,0.0
184,3,Asia,1967,0.0
185,3,Asia,1968,0.0
186,3,Asia,1969,0.0
187,3,Asia,1970,0.0
188,3,Asia,1971,0.0
189,3,Asia,1972,0.0
190,3,Asia,1973,0.0
191,3,Asia,1974,0.0
192,3,Asia,1975,0.0
193,3,Asia,1976,0.0
194,3,Asia,1977,0.0
195,3,Asia,1978,0.0
196,3,Asia,1979,0.0
197,3,Asia,1980,0.0
198,3,Asia,1981,0.0
199,3,Asia,1982,0.0
200,3,Asia,1983,0.0
201,3,Asia,1984,0.0
202,3,Asia,1985,0.0
203,3,Asia,1986,0.0
204,3,Asia,1987,0.0
205,3,Asia,1988,0.0
206,3,Asia,1989,0.0
207,3,Asia,1990,0.00038340868
208,3,Asia,1991,0.0013618005
209,3,Asia,1992,0.0023402027
210,3,Asia,1993,0.00315137
211,3,Asia,1994,0.0055914638
212,3,Asia,1995,0.010325521
213,3,Asia,1996,0.008669357
214,3,Asia,1997,0.010312231
215,3,Asia,1998,0.012552963
216,3,Asia,1999,0.01692705
217,3,Asia,2000,0.019121021
218,3,Asia,2001,0.024671579
219,3,Asia,2002,0.02532132
220,3,Asia,2003,0.030892013
221,3,Asia,2004,0.049674477
222,3,Asia,2005,0.057733
223,3,Asia,2006,0.084979124
224,3,Asia,2007,0.10573019
225,3,Asia,2008,0.1555752
226,3,Asia,2009,0.23517382
227,3,Asia,2010,0.33757022
228,3,Asia,2011,0.45064133
