,code,entity,year,renewables_(%_equivalent_primary_energy)
0,45,Africa,1965,5.7402806
1,45,Africa,1966,6.1139693
2,45,Africa,1967,6.31658
3,45,Africa,1968,6.994845
4,45,Africa,1969,7.9439163
5,45,Africa,1970,9.148895
6,45,Africa,1971,8.124994
7,45,Africa,1972,8.747272
8,45,Africa,1973,8.54162
9,45,Africa,1974,9.252387
10,45,Africa,1975,9.228769
11,45,Africa,1976,9.41638
12,45,Africa,1977,9.803094
13,45,Africa,1978,9.518462
14,45,Africa,1979,9.349527
15,45,Africa,1980,8.481442
16,45,Africa,1981,7.8527517
17,45,Africa,1982,7.3734274
18,45,Africa,1983,6.456112
19,45,Africa,1984,6.1585774
20,45,Africa,1985,6.5793424
21,45,Africa,1986,6.7159667
22,45,Africa,1987,6.243963
23,45,Africa,1988,6.3621163
24,45,Africa,1989,6.66546
25,45,Africa,1990,6.586325
26,45,Africa,1991,6.9816546
27,45,Africa,1992,6.5701222
28,45,Africa,1993,6.432488
29,45,Africa,1994,6.30997
30,45,Africa,1995,6.308814
31,45,Africa,1996,6.435814
32,45,Africa,1997,6.468487
33,45,Africa,1998,6.6771054
34,45,Africa,1999,6.8596764
35,45,Africa,2000,7.20691
36,45,Africa,2001,7.4405327
37,45,Africa,2002,7.675384
38,45,Africa,2003,7.109379
39,45,Africa,2004,6.983353
40,45,Africa,2005,7.0310397
41,45,Africa,2006,7.16137
42,45,Africa,2007,7.060168
43,45,Africa,2008,6.7642
44,45,Africa,2009,6.812359
45,45,Africa,2010,7.134043
46,45,Africa,2011,7.273434
47,45,Africa,2012,7.023342
48,45,Africa,2013,7.2216034
49,45,Africa,2014,7.5466075
50,45,Africa,2015,7.49733
51,45,Africa,2016,7.293605
52,45,Africa,2017,7.722913
53,45,Africa,2018,8.085691
54,45,Africa,2019,8.440789
55,45,Africa,2020,9.53104
56,45,Africa,2021,9.419954
57,45,Africa,2022,9.656152
58,1,Africa (EI),1965,5.7402806
59,1,Africa (EI),1966,6.113969
60,1,Africa (EI),1967,6.31658
61,1,Africa (EI),1968,6.994845
62,1,Africa (EI),1969,7.9439154
63,1,Africa (EI),1970,9.148896
64,1,Africa (EI),1971,8.124996
65,1,Africa (EI),1972,8.7472725
66,1,Africa (EI),1973,8.54162
67,1,Africa (EI),1974,9.252388
68,1,Africa (EI),1975,9.228768
69,1,Africa (EI),1976,9.416379
70,1,Africa (EI),1977,9.803097
71,1,Africa (EI),1978,9.518462
72,1,Africa (EI),1979,9.349527
73,1,Africa (EI),1980,8.481442
74,1,Africa (EI),1981,7.8527517
75,1,Africa (EI),1982,7.3734274
76,1,Africa (EI),1983,6.456112
77,1,Africa (EI),1984,6.1585774
78,1,Africa (EI),1985,6.5793424
79,1,Africa (EI),1986,6.7159667
80,1,Africa (EI),1987,6.243963
81,1,Africa (EI),1988,6.3621163
82,1,Africa (EI),1989,6.6654606
83,1,Africa (EI),1990,6.586325
84,1,Africa (EI),1991,6.9816546
85,1,Africa (EI),1992,6.5701222
86,1,Africa (EI),1993,6.432488
87,1,Africa (EI),1994,6.30997
88,1,Africa (EI),1995,6.3088136
89,1,Africa (EI),1996,6.435814
90,1,Africa (EI),1997,6.468488
91,1,Africa (EI),1998,6.677107
92,1,Africa (EI),1999,6.8596764
93,1,Africa (EI),2000,7.20691
94,1,Africa (EI),2001,7.4405327
95,1,Africa (EI),2002,7.6753845
96,1,Africa (EI),2003,7.10938
97,1,Africa (EI),2004,6.983353
98,1,Africa (EI),2005,7.0310397
99,1,Africa (EI),2006,7.16137
100,1,Africa (EI),2007,7.060168
101,1,Africa (EI),2008,6.764201
102,1,Africa (EI),2009,6.812359
103,1,Africa (EI),2010,7.134043
104,1,Africa (EI),2011,7.273434
105,1,Africa (EI),2012,7.023342
106,1,Africa (EI),2013,7.2216034
107,1,Africa (EI),2014,7.5466075
108,1,Africa (EI),2015,7.49733
109,1,Africa (EI),2016,7.293605
110,1,Africa (EI),2017,7.7229133
111,1,Africa (EI),2018,8.085691
112,1,Africa (EI),2019,8.440789
113,1,Africa (EI),2020,9.53104
114,1,Africa (EI),2021,9.419953
115,1,Africa (EI),2022,9.656152
116,47,Algeria,1965,4.7630677
117,47,Algeria,1966,3.518747
118,47,Algeria,1967,4.291954
119,47,Algeria,1968,5.4861946
120,47,Algeria,1969,3.1827633
121,47,Algeria,1970,4.6656837
122,47,Algeria,1971,2.4559188
123,47,Algeria,1972,3.278343
124,47,Algeria,1973,4.175826
125,47,Algeria,1974,2.494738
126,47,Algeria,1975,1.3782818
127,47,Algeria,1976,1.4010222
128,47,Algeria,1977,0.8817282
129,47,Algeria,1978,0.6521151
130,47,Algeria,1979,0.5792936
131,47,Algeria,1980,0.4290016
132,47,Algeria,1981,0.50294036
133,47,Algeria,1982,0.5708701
134,47,Algeria,1983,0.25644946
135,47,Algeria,1984,0.5136736
136,47,Algeria,1985,0.72826535
137,47,Algeria,1986,0.2664045
138,47,Algeria,1987,0.5174274
139,47,Algeria,1988,0.17717436
140,47,Algeria,1989,0.2249582
141,47,Algeria,1990,0.1267387
142,47,Algeria,1991,0.277607
143,47,Algeria,1992,0.18375748
144,47,Algeria,1993,0.35028014
145,47,Algeria,1994,0.16257899
146,47,Algeria,1995,0.18224756
147,47,Algeria,1996,0.1288034
148,47,Algeria,1997,0.074455895
149,47,Algeria,1998,0.20617963
150,47,Algeria,1999,0.1927434
151,47,Algeria,2000,0.053235486
152,47,Algeria,2001,0.065218486
153,47,Algeria,2002,0.05167676
154,47,Algeria,2003,0.228104
155,47,Algeria,2004,0.2067869
156,47,Algeria,2005,0.43411884
157,47,Algeria,2006,0.16327195
158,47,Algeria,2007,0.15990457
159,47,Algeria,2008,0.1877543
160,47,Algeria,2009,0.21278548
161,47,Algeria,2010,0.11513415
162,47,Algeria,2011,0.23525994
163,47,Algeria,2012,0.22453195
164,47,Algeria,2013,0.06476319
165,47,Algeria,2014,0.11750259
166,47,Algeria,2015,0.09681336
167,47,Algeria,2016,0.14580713
168,47,Algeria,2017,0.24701828
169,47,Algeria,2018,0.28842947
170,47,Algeria,2019,0.29497427
171,47,Algeria,2020,0.30043116
172,47,Algeria,2021,0.25449628
173,47,Algeria,2022,0.2927589
174,2,Argentina,1965,1.1026944
175,2,Argentina,1966,1.0818663
176,2,Argentina,1967,1.0765308
177,2,Argentina,1968,1.2272897
178,2,Argentina,1969,1.0651326
179,2,Argentina,1970,1.3533598
180,2,Argentina,1971,1.2702763
181,2,Argentina,1972,1.2349532
182,2,Argentina,1973,2.2839267
183,2,Argentina,1974,3.629566
184,2,Argentina,1975,3.8664374
185,2,Argentina,1976,3.5540857
186,2,Argentina,1977,3.9090023
187,2,Argentina,1978,5.227204
188,2,Argentina,1979,6.702873
189,2,Argentina,1980,9.552048
190,2,Argentina,1981,9.542367
191,2,Argentina,1982,11.229478
192,2,Argentina,1983,11.313745
193,2,Argentina,1984,12.136334
194,2,Argentina,1985,12.759911
195,2,Argentina,1986,12.297877
196,2,Argentina,1987,12.24687
197,2,Argentina,1988,8.416951
198,2,Argentina,1989,7.543206
199,2,Argentina,1990,10.29241
200,2,Argentina,1991,9.080978
201,2,Argentina,1992,10.2065
202,2,Argentina,1993,12.215968
203,2,Argentina,1994,13.306112
204,2,Argentina,1995,12.535252
205,2,Argentina,1996,10.224623
206,2,Argentina,1997,12.513889
207,2,Argentina,1998,11.481932
208,2,Argentina,1999,9.2246065
209,2,Argentina,2000,12.283152
210,2,Argentina,2001,15.93624
211,2,Argentina,2002,16.247978
212,2,Argentina,2003,14.40661
213,2,Argentina,2004,12.185576
214,2,Argentina,2005,12.790038
215,2,Argentina,2006,13.449896
216,2,Argentina,2007,10.613073
217,2,Argentina,2008,10.447249
218,2,Argentina,2009,11.797741
219,2,Argentina,2010,11.650168
220,2,Argentina,2011,10.914268
221,2,Argentina,2012,10.176803
222,2,Argentina,2013,10.940409
223,2,Argentina,2014,11.038969
224,2,Argentina,2015,10.89336
225,2,Argentina,2016,10.17179
226,2,Argentina,2017,10.979133
227,2,Argentina,2018,11.331651
228,2,Argentina,2019,11.911147
229,2,Argentina,2020,12.310069
230,2,Argentina,2021,11.250522
231,2,Argentina,2022,12.81501
232,3,Asia,1965,7.897043
233,3,Asia,1966,7.5901756
234,3,Asia,1967,6.7739277
235,3,Asia,1968,6.975909
236,3,Asia,1969,6.3710027
237,3,Asia,1970,5.7638383
238,3,Asia,1971,5.7417383
239,3,Asia,1972,5.588214
240,3,Asia,1973,4.796797
241,3,Asia,1974,5.3396454
242,3,Asia,1975,5.5505695
243,3,Asia,1976,5.3948956
244,3,Asia,1977,4.9730463
245,3,Asia,1978,4.89683
246,3,Asia,1979,5.028547
247,3,Asia,1980,5.4007115
248,3,Asia,1981,5.7069726
249,3,Asia,1982,5.7117558
250,3,Asia,1983,5.695761
251,3,Asia,1984,5.315992
252,3,Asia,1985,5.351944
253,3,Asia,1986,5.187796
254,3,Asia,1987,5.080285
255,3,Asia,1988,5.4386826
256,3,Asia,1989,5.325835
257,3,Asia,1990,5.3332186
258,3,Asia,1991,5.191427
259,3,Asia,1992,5.0087595
260,3,Asia,1993,5.3177643
261,3,Asia,1994,5.0574775
262,3,Asia,1995,5.262231
263,3,Asia,1996,5.0113516
264,3,Asia,1997,4.8859487
265,3,Asia,1998,5.173664
266,3,Asia,1999,4.921889
267,3,Asia,2000,4.9022293
268,3,Asia,2001,5.0720773
269,3,Asia,2002,5.0038915
270,3,Asia,2003,4.8089495
271,3,Asia,2004,5.1195283
272,3,Asia,2005,4.9466696
273,3,Asia,2006,5.1445403
274,3,Asia,2007,5.1095996
275,3,Asia,2008,5.628602
276,3,Asia,2009,5.4842396
277,3,Asia,2010,5.974635
278,3,Asia,2011,5.8979692
279,3,Asia,2012,6.493125
280,3,Asia,2013,7.000718
281,3,Asia,2014,7.5659223
282,3,Asia,2015,7.9179235
283,3,Asia,2016,8.415236
284,3,Asia,2017,8.881613
285,3,Asia,2018,9.383873
286,3,Asia,2019,10.027869
287,3,Asia,2020,10.78211
288,3,Asia,2021,11.258453
289,3,Asia,2022,12.03901
290,4,Asia Pacific (EI),1965,8.906461
291,4,Asia Pacific (EI),1966,8.529046
292,4,Asia Pacific (EI),1967,7.66612
293,4,Asia Pacific (EI),1968,7.8297095
294,4,Asia Pacific (EI),1969,7.1342564
295,4,Asia Pacific (EI),1970,6.51399
296,4,Asia Pacific (EI),1971,6.5559907
297,4,Asia Pacific (EI),1972,6.363229
298,4,Asia Pacific (EI),1973,5.5802794
299,4,Asia Pacific (EI),1974,6.154487
300,4,Asia Pacific (EI),1975,6.328346
301,4,Asia Pacific (EI),1976,6.0545506
302,4,Asia Pacific (EI),1977,5.5735383
303,4,Asia Pacific (EI),1978,5.4501457
304,4,Asia Pacific (EI),1979,5.6590157
305,4,Asia Pacific (EI),1980,6.012639
306,4,Asia Pacific (EI),1981,6.3572416
307,4,Asia Pacific (EI),1982,6.3478613
308,4,Asia Pacific (EI),1983,6.465451
309,4,Asia Pacific (EI),1984,6.071859
310,4,Asia Pacific (EI),1985,6.183703
311,4,Asia Pacific (EI),1986,6.097176
312,4,Asia Pacific (EI),1987,5.757196
313,4,Asia Pacific (EI),1988,5.9301677
314,4,Asia Pacific (EI),1989,6.0402846
315,4,Asia Pacific (EI),1990,5.901523
316,4,Asia Pacific (EI),1991,5.8011227
317,4,Asia Pacific (EI),1992,5.436806
318,4,Asia Pacific (EI),1993,5.6325393
319,4,Asia Pacific (EI),1994,5.4214945
320,4,Asia Pacific (EI),1995,5.650538
321,4,Asia Pacific (EI),1996,5.29472
322,4,Asia Pacific (EI),1997,5.2021685
323,4,Asia Pacific (EI),1998,5.552411
324,4,Asia Pacific (EI),1999,5.3340397
325,4,Asia Pacific (EI),2000,5.3779483
326,4,Asia Pacific (EI),2001,5.6333823
327,4,Asia Pacific (EI),2002,5.4669867
328,4,Asia Pacific (EI),2003,5.179283
329,4,Asia Pacific (EI),2004,5.4987383
330,4,Asia Pacific (EI),2005,5.343748
331,4,Asia Pacific (EI),2006,5.5598783
332,4,Asia Pacific (EI),2007,5.587044
333,4,Asia Pacific (EI),2008,6.347811
334,4,Asia Pacific (EI),2009,6.18546
335,4,Asia Pacific (EI),2010,6.6559954
336,4,Asia Pacific (EI),2011,6.6238837
337,4,Asia Pacific (EI),2012,7.2929463
338,4,Asia Pacific (EI),2013,7.887267
339,4,Asia Pacific (EI),2014,8.66869
340,4,Asia Pacific (EI),2015,9.000397
341,4,Asia Pacific (EI),2016,9.594515
342,4,Asia Pacific (EI),2017,10.124971
343,4,Asia Pacific (EI),2018,10.703524
344,4,Asia Pacific (EI),2019,11.202264
345,4,Asia Pacific (EI),2020,12.137218
346,4,Asia Pacific (EI),2021,12.8053055
347,4,Asia Pacific (EI),2022,13.75428
348,5,Australia,1965,5.5626216
349,5,Australia,1966,5.0718946
350,5,Australia,1967,4.9495487
351,5,Australia,1968,4.8654675
352,5,Australia,1969,5.086988
353,5,Australia,1970,5.421451
354,5,Australia,1971,5.8227277
355,5,Australia,1972,5.599285
356,5,Australia,1973,5.588665
357,5,Australia,1974,5.95511
358,5,Australia,1975,6.2970085
359,5,Australia,1976,5.7934213
360,5,Australia,1977,5.2697754
361,5,Australia,1978,5.508697
362,5,Australia,1979,5.1658406
363,5,Australia,1980,4.862272
364,5,Australia,1981,4.930354
365,5,Australia,1982,4.6367826
366,5,Australia,1983,4.534481
367,5,Australia,1984,4.7184544
368,5,Australia,1985,4.863155
369,5,Australia,1986,4.7985597
370,5,Australia,1987,4.532893
371,5,Australia,1988,4.64168
372,5,Australia,1989,4.4199533
373,5,Australia,1990,4.4593916
374,5,Australia,1991,4.740063
375,5,Australia,1992,4.731717
376,5,Australia,1993,4.7594285
377,5,Australia,1994,4.527182
378,5,Australia,1995,4.239725
379,5,Australia,1996,4.236591
380,5,Australia,1997,4.14584
381,5,Australia,1998,4.037756
382,5,Australia,1999,4.008933
383,5,Australia,2000,3.9888778
384,5,Australia,2001,3.870762
385,5,Australia,2002,3.9314501
386,5,Australia,2003,4.0149684
387,5,Australia,2004,4.03656
388,5,Australia,2005,4.313553
389,5,Australia,2006,4.233413
390,5,Australia,2007,3.9767237
391,5,Australia,2008,3.681326
392,5,Australia,2009,3.9202657
393,5,Australia,2010,4.312805
394,5,Australia,2011,5.688442
395,5,Australia,2012,5.688193
396,5,Australia,2013,6.5121694
397,5,Australia,2014,5.9665823
398,5,Australia,2015,6.2821994
399,5,Australia,2016,7.1855173
400,5,Australia,2017,6.7429633
401,5,Australia,2018,8.278479
402,5,Australia,2019,8.873599
403,5,Australia,2020,10.834546
404,5,Australia,2021,12.895153
405,5,Australia,2022,14.454731
406,6,Austria,1965,25.096405
407,6,Austria,1966,25.840193
408,6,Austria,1967,26.118929
409,6,Austria,1968,25.099167
410,6,Austria,1969,22.27537
411,6,Austria,1970,24.770256
412,6,Austria,1971,19.6523
413,6,Austria,1972,19.524149
414,6,Austria,1973,20.17739
415,6,Austria,1974,23.734526
416,6,Austria,1975,25.034246
417,6,Austria,1976,20.905321
418,6,Austria,1977,25.271303
419,6,Austria,1978,24.244625
420,6,Austria,1979,25.784454
421,6,Austria,1980,26.826015
422,6,Austria,1981,29.280653
423,6,Austria,1982,30.31977
424,6,Austria,1983,30.117786
425,6,Austria,1984,26.68983
426,6,Austria,1985,29.769283
427,6,Austria,1986,30.177652
428,6,Austria,1987,32.193813
429,6,Austria,1988,32.733353
430,6,Austria,1989,32.40866
431,6,Austria,1990,28.908712
432,6,Austria,1991,27.587229
433,6,Austria,1992,31.037298
434,6,Austria,1993,32.088062
435,6,Austria,1994,31.296307
436,6,Austria,1995,31.515926
437,6,Austria,1996,28.95124
438,6,Austria,1997,29.96351
439,6,Austria,1998,30.441757
440,6,Austria,1999,32.248478
441,6,Austria,2000,32.955013
442,6,Austria,2001,30.816671
443,6,Austria,2002,30.325117
444,6,Austria,2003,25.140518
445,6,Austria,2004,27.633783
446,6,Austria,2005,27.928648
447,6,Austria,2006,28.57241
448,6,Austria,2007,30.966675
449,6,Austria,2008,31.329908
450,6,Austria,2009,34.31661
451,6,Austria,2010,31.5994
452,6,Austria,2011,30.510199
453,6,Austria,2012,35.894623
454,6,Austria,2013,35.275146
455,6,Austria,2014,36.64313
456,6,Austria,2015,35.00307
457,6,Austria,2016,35.69875
458,6,Austria,2017,34.537975
459,6,Austria,2018,34.527843
460,6,Austria,2019,35.54422
461,6,Austria,2020,38.186146
462,6,Austria,2021,36.084133
463,6,Austria,2022,36.607925
464,52,Azerbaijan,1985,1.6519357
465,52,Azerbaijan,1986,0.9406936
466,52,Azerbaijan,1987,0.9706842
467,52,Azerbaijan,1988,0.842058
468,52,Azerbaijan,1989,0.8257339
469,52,Azerbaijan,1990,1.8816601
470,52,Azerbaijan,1991,2.0779731
471,52,Azerbaijan,1992,2.4099329
472,52,Azerbaijan,1993,3.8572147
473,52,Azerbaijan,1994,3.1670034
474,52,Azerbaijan,1995,2.8640726
475,52,Azerbaijan,1996,3.449877
476,52,Azerbaijan,1997,4.0128255
477,52,Azerbaijan,1998,4.5553145
478,52,Azerbaijan,1999,3.5244212
479,52,Azerbaijan,2000,3.4349427
480,52,Azerbaijan,2001,3.004117
481,52,Azerbaijan,2002,4.6939816
482,52,Azerbaijan,2003,5.2657747
483,52,Azerbaijan,2004,5.1585817
484,52,Azerbaijan,2005,5.165004
485,52,Azerbaijan,2006,4.3662996
486,52,Azerbaijan,2007,4.4247346
487,52,Azerbaijan,2008,4.1157107
488,52,Azerbaijan,2009,4.931007
489,52,Azerbaijan,2010,7.419545
490,52,Azerbaijan,2011,5.0353055
491,52,Azerbaijan,2012,3.3029988
492,52,Azerbaijan,2013,2.7653382
493,52,Azerbaijan,2014,2.4241152
494,52,Azerbaijan,2015,2.7468376
495,52,Azerbaijan,2016,3.331108
496,52,Azerbaijan,2017,3.0345747
497,52,Azerbaijan,2018,3.0657055
498,52,Azerbaijan,2019,2.6910236
499,52,Azerbaijan,2020,1.9140551
500,52,Azerbaijan,2021,2.0616357
501,52,Azerbaijan,2022,2.5034385
502,54,Bangladesh,1971,3.859758
503,54,Bangladesh,1972,3.406534
504,54,Bangladesh,1973,5.024387
505,54,Bangladesh,1974,3.4634595
506,54,Bangladesh,1975,6.043976
507,54,Bangladesh,1976,5.868124
508,54,Bangladesh,1977,5.079776
509,54,Bangladesh,1978,5.5367117
510,54,Bangladesh,1979,5.825672
511,54,Bangladesh,1980,4.96088
512,54,Bangladesh,1981,5.0166492
513,54,Bangladesh,1982,3.8052511
514,54,Bangladesh,1983,4.870658
515,54,Bangladesh,1984,6.1055837
516,54,Bangladesh,1985,4.526682
517,54,Bangladesh,1986,2.5327973
518,54,Bangladesh,1987,2.6365013
519,54,Bangladesh,1988,3.0908637
520,54,Bangladesh,1989,3.907864
521,54,Bangladesh,1990,3.5392714
522,54,Bangladesh,1991,3.4776092
523,54,Bangladesh,1992,3.0288854
524,54,Bangladesh,1993,2.104329
525,54,Bangladesh,1994,2.7616804
526,54,Bangladesh,1995,1.0269947
527,54,Bangladesh,1996,1.9475645
528,54,Bangladesh,1997,1.8034276
529,54,Bangladesh,1998,2.0371237
530,54,Bangladesh,1999,1.9397291
531,54,Bangladesh,2000,1.6270729
532,54,Bangladesh,2001,1.8750032
533,54,Bangladesh,2002,1.4013934
534,54,Bangladesh,2003,1.3187346
535,54,Bangladesh,2004,1.23592
536,54,Bangladesh,2005,1.1360204
537,54,Bangladesh,2006,1.0482597
538,54,Bangladesh,2007,1.0219762
539,54,Bangladesh,2008,1.2238175
540,54,Bangladesh,2009,0.5128985
541,54,Bangladesh,2010,0.8643462
542,54,Bangladesh,2011,0.95213187
543,54,Bangladesh,2012,0.8133145
544,54,Bangladesh,2013,0.768418
545,54,Bangladesh,2014,0.6303479
546,54,Bangladesh,2015,0.7730467
547,54,Bangladesh,2016,0.7727132
548,54,Bangladesh,2017,0.85236263
549,54,Bangladesh,2018,0.706803
550,54,Bangladesh,2019,0.6336403
551,54,Bangladesh,2020,0.6318109
552,54,Bangladesh,2021,0.6982034
553,54,Bangladesh,2022,0.7543987
554,56,Belarus,1985,0.0144934775
555,56,Belarus,1986,0.012695331
556,56,Belarus,1987,0.012513183
557,56,Belarus,1988,0.012336068
558,56,Belarus,1989,0.012754957
559,56,Belarus,1990,0.012691677
560,56,Belarus,1991,0.011448725
561,56,Belarus,1992,0.012468852
562,56,Belarus,1993,0.0166659
563,56,Belarus,1994,0.019936152
