,code,entity,year,oth_renewables_(incl_geo_n_biomass)_electricity_generation_-_twh,solar generation - twh,wind generation - twh,hydro generation - twh
0,45,Africa,1971,0.164,0.0,0.0,26.01339
1,45,Africa,1972,0.165,0.0,0.0,29.633196
2,45,Africa,1973,0.17,0.0,0.0,31.345707
3,45,Africa,1974,0.175,0.0,0.0,35.667076
4,45,Africa,1975,0.172,0.0,0.0,37.717968
5,45,Africa,1976,0.185,0.0,0.0,41.797634
6,45,Africa,1977,0.189,0.0,0.0,45.92877
7,45,Africa,1978,0.195,0.0,0.0,46.306942
8,45,Africa,1979,0.201,0.0,0.0,49.56523
9,45,Africa,1980,0.207,0.0,0.0,48.311787
10,45,Africa,1981,0.218,0.0,0.0,50.192905
11,45,Africa,1982,0.236,0.0,0.0,50.206238
12,45,Africa,1983,0.23,0.0,0.0,45.24716
13,45,Africa,1984,0.234,0.0,0.0,44.489975
14,45,Africa,1985,0.269,0.0,0.0,49.449684
15,45,Africa,1986,0.659,0.0,0.0,51.14537
16,45,Africa,1987,0.658,0.0,0.0,49.05646
17,45,Africa,1988,0.626,0.0,0.0,53.593452
18,45,Africa,1989,0.617,0.0,0.0,56.27621
19,45,Africa,1990,0.80574995,0.0,0.0,57.254658
20,45,Africa,1991,0.8217477,0.0,0.0,60.65149
21,45,Africa,1992,0.85394657,0.0,0.0,57.86029
22,45,Africa,1993,0.94937193,0.0,0.002,56.682507
23,45,Africa,1994,0.84669536,0.0,0.0054,57.59605
24,45,Africa,1995,1.028464,0.0,0.0063,59.76888
25,45,Africa,1996,1.2678368,0.0,0.0071,62.31646
26,45,Africa,1997,1.3963903,0.0,0.0072,63.852497
27,45,Africa,1998,1.724236,0.0,0.0076,66.654884
28,45,Africa,1999,1.7097834,0.0,0.0198,70.68426
29,45,Africa,2000,2.313793,0.011941,0.1755,75.25581
30,45,Africa,2001,2.3859584,0.01496,0.41558,80.86911
31,45,Africa,2002,2.3420103,0.016799714,0.44358402,85.02647
32,45,Africa,2003,2.6859653,0.020059295,0.535599,82.57461
33,45,Africa,2004,3.046275,0.02456688,0.7682805,87.21947
34,45,Africa,2005,3.083126,0.029383464,0.7803821,88.83774
35,45,Africa,2006,3.8507724,0.03791205,0.8525656,92.049355
36,45,Africa,2007,3.2195141,0.05047936,1.0162233,95.19856
37,45,Africa,2008,3.3477929,0.07265389,1.3117782,96.96721
38,45,Africa,2009,3.6481445,0.09582155,1.5892309,99.56114
39,45,Africa,2010,3.8428795,0.21605176,2.2845824,107.679985
40,45,Africa,2011,4.0351925,0.6020893,2.386504,110.73201
41,45,Africa,2012,4.190647,0.99265915,2.5156302,111.20843
42,45,Africa,2013,4.571517,0.7893071,3.5934472,117.50694
43,45,Africa,2014,5.57332,1.9059901,5.060073,124.17194
44,45,Africa,2015,7.16401,3.6104436,8.9106865,120.32509
45,45,Africa,2016,7.2771964,5.3191276,11.176371,116.81763
46,45,Africa,2017,7.773782,6.9551754,13.6124935,125.27305
47,45,Africa,2018,8.339586,8.382591,14.762939,133.80919
48,45,Africa,2019,8.457671,11.133448,19.281773,138.37263
49,45,Africa,2020,8.108861,15.289597,19.105722,147.85454
50,45,Africa,2021,8.111379,17.905737,22.780289,152.35431
51,45,Africa,2022,8.688002,18.18146,23.893784,156.7211
52,45,Africa,1965,,,0.0,13.905635
53,45,Africa,1966,,,0.0,15.510005
54,45,Africa,1967,,,0.0,16.190636
55,45,Africa,1968,,,0.0,18.938341
56,45,Africa,1969,,,0.0,22.100891
57,45,Africa,1970,,,0.0,27.630428
58,1,Africa (EI),1971,0.164,0.0,0.0,26.013391
59,1,Africa (EI),1972,0.165,0.0,0.0,29.633196
60,1,Africa (EI),1973,0.17,0.0,0.0,31.345707
61,1,Africa (EI),1974,0.175,0.0,0.0,35.667076
62,1,Africa (EI),1975,0.172,0.0,0.0,37.71797
63,1,Africa (EI),1976,0.185,0.0,0.0,41.797634
64,1,Africa (EI),1977,0.189,0.0,0.0,45.92877
65,1,Africa (EI),1978,0.195,0.0,0.0,46.30694
66,1,Africa (EI),1979,0.201,0.0,0.0,49.56523
67,1,Africa (EI),1980,0.207,0.0,0.0,48.311783
68,1,Africa (EI),1981,0.218,0.0,0.0,50.192905
69,1,Africa (EI),1982,0.236,0.0,0.0,50.206238
70,1,Africa (EI),1983,0.23,0.0,0.0,45.24716
71,1,Africa (EI),1984,0.234,0.0,0.0,44.489975
72,1,Africa (EI),1985,0.269,0.0,0.0,49.449684
73,1,Africa (EI),1986,0.659,0.0,0.0,51.145374
74,1,Africa (EI),1987,0.658,0.0,0.0,49.05646
75,1,Africa (EI),1988,0.626,0.0,0.0,53.593456
76,1,Africa (EI),1989,0.617,0.0,0.0,56.276215
77,1,Africa (EI),1990,0.80574995,0.0,0.0,57.254658
78,1,Africa (EI),1991,0.8217477,0.0,0.0,60.65149
79,1,Africa (EI),1992,0.85394657,0.0,0.0,57.86029
80,1,Africa (EI),1993,0.94937193,0.0,0.002,56.682507
81,1,Africa (EI),1994,0.84669536,0.0,0.0054,57.59605
82,1,Africa (EI),1995,1.028464,0.0,0.0063,59.768875
83,1,Africa (EI),1996,1.2678369,0.0,0.0071,62.31646
84,1,Africa (EI),1997,1.3963903,0.0,0.0072,63.852497
85,1,Africa (EI),1998,1.724236,0.0,0.0076,66.654884
86,1,Africa (EI),1999,1.7097833,0.0,0.0198,70.68426
87,1,Africa (EI),2000,2.313793,0.011941,0.1755,75.25581
88,1,Africa (EI),2001,2.3859584,0.01496,0.41558,80.86912
89,1,Africa (EI),2002,2.3420103,0.016799713,0.443584,85.02647
90,1,Africa (EI),2003,2.685965,0.020059297,0.535599,82.5746
91,1,Africa (EI),2004,3.046275,0.02456688,0.7682805,87.21947
92,1,Africa (EI),2005,3.083126,0.029383464,0.7803821,88.83773
93,1,Africa (EI),2006,3.8507726,0.03791205,0.8525656,92.049355
94,1,Africa (EI),2007,3.2195141,0.050479364,1.0162233,95.19856
95,1,Africa (EI),2008,3.3477929,0.07265389,1.3117782,96.96721
96,1,Africa (EI),2009,3.6481445,0.09582156,1.5892309,99.561134
97,1,Africa (EI),2010,3.8428793,0.21605176,2.2845824,107.679985
98,1,Africa (EI),2011,4.0351925,0.6020893,2.386504,110.73201
99,1,Africa (EI),2012,4.190647,0.99265915,2.5156302,111.20843
100,1,Africa (EI),2013,4.571517,0.7893071,3.5934472,117.50695
101,1,Africa (EI),2014,5.57332,1.9059901,5.060073,124.17194
102,1,Africa (EI),2015,7.16401,3.6104434,8.9106865,120.32509
103,1,Africa (EI),2016,7.2771964,5.3191276,11.176371,116.81763
104,1,Africa (EI),2017,7.773782,6.955176,13.6124935,125.27305
105,1,Africa (EI),2018,8.339586,8.382592,14.762939,133.80919
106,1,Africa (EI),2019,8.457672,11.133448,19.281773,138.37263
107,1,Africa (EI),2020,8.108861,15.289597,19.105722,147.85455
108,1,Africa (EI),2021,8.111379,17.905737,22.780289,152.35431
109,1,Africa (EI),2022,8.688001,18.18146,23.893784,156.72108
110,1,Africa (EI),1965,,,0.0,13.905635
111,1,Africa (EI),1966,,,0.0,15.510004
112,1,Africa (EI),1967,,,0.0,16.190636
113,1,Africa (EI),1968,,,0.0,18.938341
114,1,Africa (EI),1969,,,0.0,22.10089
115,1,Africa (EI),1970,,,0.0,27.63043
116,47,Algeria,1990,0.0,0.0,0.0,0.135
117,47,Algeria,1991,0.0,0.0,0.0,0.293
118,47,Algeria,1992,0.0,0.0,0.0,0.199
119,47,Algeria,1993,0.0,0.0,0.0,0.353
120,47,Algeria,1994,0.0,0.0,0.0,0.166
121,47,Algeria,1995,0.0,0.0,0.0,0.193
122,47,Algeria,1996,0.0,0.0,0.0,0.135
123,47,Algeria,1997,0.0,0.0,0.0,0.075
124,47,Algeria,1998,0.0,0.0,0.0,0.215
125,47,Algeria,1999,0.0,0.0,0.0,0.203
126,47,Algeria,2000,0.0,0.0,0.0,0.054
127,47,Algeria,2001,0.0,0.0,0.0,0.069
128,47,Algeria,2002,0.0,0.0,0.0,0.057
129,47,Algeria,2003,0.0,0.0,0.0,0.265
130,47,Algeria,2004,0.0,0.0,0.0,0.251
131,47,Algeria,2005,0.0,0.0,0.0,0.5553
132,47,Algeria,2006,0.0,0.0,0.0,0.2176
133,47,Algeria,2007,0.0,0.0,0.0,0.226
134,47,Algeria,2008,0.0,0.0,0.0,0.283
135,47,Algeria,2009,0.0,0.0,0.0,0.342
136,47,Algeria,2010,0.0,0.0091,0.0,0.173
137,47,Algeria,2011,0.0,0.01811875,0.0,0.378
138,47,Algeria,2012,0.0,0.026723014,0.0,0.389
139,47,Algeria,2013,0.0,0.0286,0.0,0.099
140,47,Algeria,2014,0.0,0.06,0.001,0.193
141,47,Algeria,2015,0.0,0.058,0.019,0.145
142,47,Algeria,2016,0.0,0.245,0.019052055,0.072
143,47,Algeria,2017,0.0,0.504,0.019,0.056
144,47,Algeria,2018,0.0,0.603,0.01,0.117
145,47,Algeria,2019,0.0,0.615,0.01,0.152
146,47,Algeria,2020,0.0,0.685,0.0077,0.0496
147,47,Algeria,2021,0.0,0.664,0.0105,0.0093
148,47,Algeria,2022,0.0,0.68177,0.0105,0.07678
149,47,Algeria,1965,,,,0.4
150,47,Algeria,1966,,,,0.355
151,47,Algeria,1967,,,,0.41
152,47,Algeria,1968,,,,0.563
153,47,Algeria,1969,,,,0.361
154,47,Algeria,1970,,,,0.58
155,47,Algeria,1971,,,,0.33
156,47,Algeria,1972,,,,0.495
157,47,Algeria,1973,,,,0.752
