,code,entity,year,electricity_from_wind_(twh),electricity from hydro (twh),electricity from solar (twh),other renewables including bioenergy (twh)
0,196,ASEAN (Ember),2000,0.0,50.37,0.0,22.53
1,196,ASEAN (Ember),2001,0.0,54.26,0.0,22.42
2,196,ASEAN (Ember),2002,0.0,53.32,0.0,22.67
3,196,ASEAN (Ember),2003,0.0,53.28,0.0,22.43
4,196,ASEAN (Ember),2004,0.0,52.88,0.0,24.14
5,196,ASEAN (Ember),2005,0.02,53.76,0.0,24.44
6,196,ASEAN (Ember),2006,0.05,60.38,0.0,24.89
7,196,ASEAN (Ember),2007,0.06,63.13,0.0,26.68
8,196,ASEAN (Ember),2008,0.06,69.8,0.0,28.75
9,196,ASEAN (Ember),2009,0.07,73.52,0.01,29.73
10,196,ASEAN (Ember),2010,0.1,78.85,0.03,32.34
11,196,ASEAN (Ember),2011,0.13,99.42,0.11,34.17
12,196,ASEAN (Ember),2012,0.26,115.07,0.54,35.64
13,196,ASEAN (Ember),2013,0.45,126.96,1.46,35.91
14,196,ASEAN (Ember),2014,0.53,130.61,2.26,37.84
15,196,ASEAN (Ember),2015,1.26,122.36,2.93,40.440002
16,196,ASEAN (Ember),2016,1.53,144.21,5.05,43.73
17,196,ASEAN (Ember),2017,2.55,181.03,6.38,47.67
18,196,ASEAN (Ember),2018,3.47,188.64,6.98,53.61
19,196,ASEAN (Ember),2019,5.91,162.44,13.38,55.1
20,196,ASEAN (Ember),2020,5.79,181.36,19.55,56.010002
21,196,ASEAN (Ember),2021,8.3,185.58,34.43,61.28
22,196,ASEAN (Ember),2022,12.96,229.26,37.33,69.240005
23,44,Afghanistan,2000,0.0,0.31,0.0,0.0
24,44,Afghanistan,2001,0.0,0.5,0.0,0.0
25,44,Afghanistan,2002,0.0,0.56,0.0,0.0
26,44,Afghanistan,2003,0.0,0.63,0.0,0.0
27,44,Afghanistan,2004,0.0,0.56,0.0,0.0
28,44,Afghanistan,2005,0.0,0.59,0.0,0.0
29,44,Afghanistan,2006,0.0,0.64,0.0,0.0
30,44,Afghanistan,2007,0.0,0.75,0.0,0.0
31,44,Afghanistan,2008,0.0,0.54,0.0,0.0
32,44,Afghanistan,2009,0.0,0.78,0.0,0.0
33,44,Afghanistan,2010,0.0,0.75,0.0,0.0
34,44,Afghanistan,2011,0.0,0.6,0.0,0.0
35,44,Afghanistan,2012,0.0,0.71,0.03,0.0
36,44,Afghanistan,2013,0.0,0.86,0.03,0.0
37,44,Afghanistan,2014,0.0,0.97,0.03,0.0
38,44,Afghanistan,2015,0.0,1.0,0.03,0.0
39,44,Afghanistan,2016,0.0,1.02,0.04,0.0
40,44,Afghanistan,2017,0.0,1.05,0.04,0.0
41,44,Afghanistan,2018,0.0,0.93,0.04,0.0
42,44,Afghanistan,2019,0.0,0.84,0.05,0.0
43,44,Afghanistan,2020,0.0,0.62,0.06,0.0
44,44,Afghanistan,2021,0.0,0.62,0.08,0.0
45,45,Africa,1965,0.0,13.905635,,
46,45,Africa,1966,0.0,15.510005,,
47,45,Africa,1967,0.0,16.190636,,
48,45,Africa,1968,0.0,18.938341,,
49,45,Africa,1969,0.0,22.100891,,
50,45,Africa,1970,0.0,27.630428,,
51,45,Africa,1971,0.0,26.01339,0.0,0.164
52,45,Africa,1972,0.0,29.633196,0.0,0.165
53,45,Africa,1973,0.0,31.345707,0.0,0.17
54,45,Africa,1974,0.0,35.667076,0.0,0.175
55,45,Africa,1975,0.0,37.717968,0.0,0.172
56,45,Africa,1976,0.0,41.797634,0.0,0.185
57,45,Africa,1977,0.0,45.92877,0.0,0.189
58,45,Africa,1978,0.0,46.306942,0.0,0.195
59,45,Africa,1979,0.0,49.56523,0.0,0.201
60,45,Africa,1980,0.0,48.311787,0.0,0.207
61,45,Africa,1981,0.0,50.192905,0.0,0.218
62,45,Africa,1982,0.0,50.206238,0.0,0.236
63,45,Africa,1983,0.0,45.24716,0.0,0.23
64,45,Africa,1984,0.0,44.489975,0.0,0.234
65,45,Africa,1985,0.0,49.449684,0.0,0.269
66,45,Africa,1986,0.0,51.14537,0.0,0.659
