,code,entity,year,solar_(%_equivalent_primary_energy)
0,45,Africa,1971,0.0
1,45,Africa,1972,0.0
2,45,Africa,1973,0.0
3,45,Africa,1974,0.0
4,45,Africa,1975,0.0
5,45,Africa,1976,0.0
6,45,Africa,1977,0.0
7,45,Africa,1978,0.0
8,45,Africa,1979,0.0
9,45,Africa,1980,0.0
10,45,Africa,1981,0.0
11,45,Africa,1982,0.0
12,45,Africa,1983,0.0
13,45,Africa,1984,0.0
14,45,Africa,1985,0.0
15,45,Africa,1986,0.0
16,45,Africa,1987,0.0
17,45,Africa,1988,0.0
18,45,Africa,1989,0.0
19,45,Africa,1990,0.0
20,45,Africa,1991,0.0
21,45,Africa,1992,0.0
22,45,Africa,1993,0.0
23,45,Africa,1994,0.0
24,45,Africa,1995,0.0
25,45,Africa,1996,0.0
26,45,Africa,1997,0.0
27,45,Africa,1998,0.0
28,45,Africa,1999,0.0
29,45,Africa,2000,0.0011048758
30,45,Africa,2001,0.001327791
31,45,Africa,2002,0.0014625408
32,45,Africa,2003,0.0016551199
33,45,Africa,2004,0.0018757496
34,45,Africa,2005,0.0022226938
35,45,Africa,2006,0.0027956564
36,45,Africa,2007,0.003563506
37,45,Africa,2008,0.0048092054
38,45,Africa,2009,0.006199303
39,45,Africa,2010,0.013473431
40,45,Africa,2011,0.037022687
41,45,Africa,2012,0.058339152
42,45,Africa,2013,0.044853013
43,45,Africa,2014,0.10477917
44,45,Africa,2015,0.19254607
45,45,Africa,2016,0.27477697
46,45,Africa,2017,0.3481973
47,45,Africa,2018,0.40813997
48,45,Africa,2019,0.5278361
49,45,Africa,2020,0.76239014
50,45,Africa,2021,0.8348068
51,45,Africa,2022,0.84242
52,1,Africa (EI),1971,0.0
53,1,Africa (EI),1972,0.0
54,1,Africa (EI),1973,0.0
55,1,Africa (EI),1974,0.0
56,1,Africa (EI),1975,0.0
57,1,Africa (EI),1976,0.0
58,1,Africa (EI),1977,0.0
59,1,Africa (EI),1978,0.0
60,1,Africa (EI),1979,0.0
61,1,Africa (EI),1980,0.0
62,1,Africa (EI),1981,0.0
63,1,Africa (EI),1982,0.0
64,1,Africa (EI),1983,0.0
65,1,Africa (EI),1984,0.0
66,1,Africa (EI),1985,0.0
67,1,Africa (EI),1986,0.0
68,1,Africa (EI),1987,0.0
69,1,Africa (EI),1988,0.0
70,1,Africa (EI),1989,0.0
71,1,Africa (EI),1990,0.0
72,1,Africa (EI),1991,0.0
73,1,Africa (EI),1992,0.0
74,1,Africa (EI),1993,0.0
75,1,Africa (EI),1994,0.0
76,1,Africa (EI),1995,0.0
77,1,Africa (EI),1996,0.0
78,1,Africa (EI),1997,0.0
79,1,Africa (EI),1998,0.0
80,1,Africa (EI),1999,0.0
81,1,Africa (EI),2000,0.0011048772
82,1,Africa (EI),2001,0.0013277967
83,1,Africa (EI),2002,0.0014625385
84,1,Africa (EI),2003,0.0016551218
85,1,Africa (EI),2004,0.0018757548
86,1,Africa (EI),2005,0.0022226893
87,1,Africa (EI),2006,0.0027956553
88,1,Africa (EI),2007,0.0035635026
89,1,Africa (EI),2008,0.0048092045
90,1,Africa (EI),2009,0.006199298
91,1,Africa (EI),2010,0.013473423
92,1,Africa (EI),2011,0.037022687
93,1,Africa (EI),2012,0.058339152
94,1,Africa (EI),2013,0.044853013
95,1,Africa (EI),2014,0.104779154
96,1,Africa (EI),2015,0.19254607
97,1,Africa (EI),2016,0.27477697
98,1,Africa (EI),2017,0.34819734
99,1,Africa (EI),2018,0.40814
100,1,Africa (EI),2019,0.5278361
101,1,Africa (EI),2020,0.76239014
102,1,Africa (EI),2021,0.8348068
103,1,Africa (EI),2022,0.8424202
104,47,Algeria,1990,0.0
105,47,Algeria,1991,0.0
106,47,Algeria,1992,0.0
107,47,Algeria,1993,0.0
108,47,Algeria,1994,0.0
109,47,Algeria,1995,0.0
110,47,Algeria,1996,0.0
111,47,Algeria,1997,0.0
112,47,Algeria,1998,0.0
113,47,Algeria,1999,0.0
114,47,Algeria,2000,0.0
115,47,Algeria,2001,0.0
116,47,Algeria,2002,0.0
117,47,Algeria,2003,0.0
118,47,Algeria,2004,0.0
119,47,Algeria,2005,0.0
120,47,Algeria,2006,0.0
121,47,Algeria,2007,0.0
122,47,Algeria,2008,0.0
123,47,Algeria,2009,0.0
124,47,Algeria,2010,0.005753547
125,47,Algeria,2011,0.010760947
126,47,Algeria,2012,0.014433097
127,47,Algeria,2013,0.014515888
128,47,Algeria,2014,0.027756512
129,47,Algeria,2015,0.025293589
130,47,Algeria,2016,0.106301226
131,47,Algeria,2017,0.2150211
132,47,Algeria,2018,0.23825064
133,47,Algeria,2019,0.23347387
134,47,Algeria,2020,0.27724013
135,47,Algeria,2021,0.24712712
136,47,Algeria,2022,0.2595335
137,2,Argentina,1990,0.0
138,2,Argentina,1991,0.0
139,2,Argentina,1992,0.0
140,2,Argentina,1993,0.0
141,2,Argentina,1994,0.0
142,2,Argentina,1995,0.0
143,2,Argentina,1996,0.0
144,2,Argentina,1997,0.0
145,2,Argentina,1998,7.3020133e-06
146,2,Argentina,1999,1.10451665e-05
147,2,Argentina,2000,1.5233995e-05
148,2,Argentina,2001,1.85085e-05
149,2,Argentina,2002,2.0961166e-05
150,2,Argentina,2003,2.6871925e-05
151,2,Argentina,2004,2.7082553e-05
152,2,Argentina,2005,2.9340192e-05
153,2,Argentina,2006,3.083362e-05
154,2,Argentina,2007,3.5572044e-05
155,2,Argentina,2008,4.6034613e-05
156,2,Argentina,2009,2.492412e-05
157,2,Argentina,2010,2.6968635e-05
158,2,Argentina,2011,0.0004897719
159,2,Argentina,2012,0.0023746525
160,2,Argentina,2013,0.004186176
161,2,Argentina,2014,0.00440818
162,2,Argentina,2015,0.0039662197
163,2,Argentina,2016,0.003850112
164,2,Argentina,2017,0.00440694
165,2,Argentina,2018,0.02906322
166,2,Argentina,2019,0.22731037
167,2,Argentina,2020,0.40590432
168,2,Argentina,2021,0.59684277
169,2,Argentina,2022,0.76515365
170,3,Asia,1965,0.0
171,3,Asia,1966,0.0
172,3,Asia,1967,0.0
173,3,Asia,1968,0.0
174,3,Asia,1969,0.0
175,3,Asia,1970,0.0
176,3,Asia,1971,0.0
177,3,Asia,1972,0.0
178,3,Asia,1973,0.0
179,3,Asia,1974,0.0
180,3,Asia,1975,0.0
181,3,Asia,1976,0.0
182,3,Asia,1977,0.0
183,3,Asia,1978,0.0
184,3,Asia,1979,0.0
185,3,Asia,1980,0.0
186,3,Asia,1981,0.0
187,3,Asia,1982,0.0
188,3,Asia,1983,0.0
189,3,Asia,1984,0.0
190,3,Asia,1985,0.0
191,3,Asia,1986,0.0
192,3,Asia,1987,0.0
193,3,Asia,1988,0.0
194,3,Asia,1989,0.0
195,3,Asia,1990,4.6022997e-05
196,3,Asia,1991,4.4285927e-05
197,3,Asia,1992,0.00016429293
198,3,Asia,1993,0.00028986207
199,3,Asia,1994,0.00034821063
200,3,Asia,1995,0.0004586593
