Entity,Code,Year,Wind energy capacity
Afghanistan,AFG,2012,0.0001
Afghanistan,AFG,2013,0.0001
Afghanistan,AFG,2014,0.0001
Afghanistan,AFG,2015,0.0001
Afghanistan,AFG,2016,0.0001
Afghanistan,AFG,2017,0.0004
Afghanistan,AFG,2018,0.0004
Afghanistan,AFG,2019,0.0004
Afghanistan,AFG,2020,0.0004
Afghanistan,AFG,2021,0.0004
Afghanistan,AFG,2022,0.0004
Africa,,2000,0.13905
Africa,,2001,0.13905
Africa,,2002,0.14431
Africa,,2003,0.15379001
Africa,,2004,0.23611000000000001
Africa,,2005,0.24018
Africa,,2006,0.327905
Africa,,2007,0.4701
Africa,,2008,0.5553
Africa,,2009,0.7424
Africa,,2010,0.864777
Africa,,2011,0.994982
Africa,,2012,1.127594
Africa,,2013,1.741834
Africa,,2014,2.399398
Africa,,2015,3.320268
Africa,,2016,3.831394
Africa,,2017,4.578262700000001
Africa,,2018,5.4715527
Africa,,2019,5.528753
Africa,,2020,6.5146533
Africa,,2021,7.3701533
Africa,,2022,7.6846533
Africa (IRENA),,2000,0.13905
Africa (IRENA),,2001,0.13905
Africa (IRENA),,2002,0.14431
Africa (IRENA),,2003,0.15378999999999998
Africa (IRENA),,2004,0.23611000000000001
Africa (IRENA),,2005,0.24018
Africa (IRENA),,2006,0.327905
Africa (IRENA),,2007,0.4701
Africa (IRENA),,2008,0.5553
Africa (IRENA),,2009,0.7424
Africa (IRENA),,2010,0.864777
Africa (IRENA),,2011,0.994982
Africa (IRENA),,2012,1.127594
Africa (IRENA),,2013,1.741834
Africa (IRENA),,2014,2.399398
Africa (IRENA),,2015,3.320268
Africa (IRENA),,2016,3.831394
Africa (IRENA),,2017,4.578263
Africa (IRENA),,2018,5.471553
Africa (IRENA),,2019,5.528753
Africa (IRENA),,2020,6.514653
Africa (IRENA),,2021,7.370153
Africa (IRENA),,2022,7.684653000000001
Algeria,DZA,2014,0.010199999999999999
Algeria,DZA,2015,0.010199999999999999
Algeria,DZA,2016,0.010199999999999999
Algeria,DZA,2017,0.010199999999999999
Algeria,DZA,2018,0.01
Algeria,DZA,2019,0.01
Algeria,DZA,2020,0.01
Algeria,DZA,2021,0.01
Algeria,DZA,2022,0.01
Antigua and Barbuda,ATG,2020,0.004
Antigua and Barbuda,ATG,2021,0.004
Antigua and Barbuda,ATG,2022,0.004
Argentina,ARG,2000,0.014112
Argentina,ARG,2001,0.024829
Argentina,ARG,2002,0.025797999999999998
Argentina,ARG,2003,0.025729
Argentina,ARG,2004,0.027829
Argentina,ARG,2005,0.027829
Argentina,ARG,2006,0.027829
Argentina,ARG,2007,0.027829
Argentina,ARG,2008,0.027829
Argentina,ARG,2009,0.027829
Argentina,ARG,2010,0.027829
Argentina,ARG,2011,0.059579
Argentina,ARG,2012,0.13697900000000002
Argentina,ARG,2013,0.189979
Argentina,ARG,2014,0.21518700000000002
Argentina,ARG,2015,0.18710400000000002
Argentina,ARG,2016,0.187442
Argentina,ARG,2017,0.226742
Argentina,ARG,2018,0.750342
Argentina,ARG,2019,1.609359
Argentina,ARG,2020,2.623904
Argentina,ARG,2021,3.292124
Argentina,ARG,2022,3.3093150000000002
Armenia,ARM,2005,0.00264
Armenia,ARM,2006,0.00264
Armenia,ARM,2007,0.00264
Armenia,ARM,2008,0.00264
Armenia,ARM,2009,0.00264
Armenia,ARM,2010,0.00264
Armenia,ARM,2011,0.00264
Armenia,ARM,2012,0.00264
Armenia,ARM,2013,0.00264
Armenia,ARM,2014,0.00264
Armenia,ARM,2015,0.0026000000000000003
Armenia,ARM,2016,0.002925
Armenia,ARM,2017,0.002925
Armenia,ARM,2018,0.002925
Armenia,ARM,2019,0.002925
Armenia,ARM,2020,0.002925
Armenia,ARM,2021,0.002925
Armenia,ARM,2022,0.002925
Aruba,ABW,2009,0.03
Aruba,ABW,2010,0.03
Aruba,ABW,2011,0.03
Aruba,ABW,2012,0.03
Aruba,ABW,2013,0.03
Aruba,ABW,2014,0.03
Aruba,ABW,2015,0.03
Aruba,ABW,2016,0.03
Aruba,ABW,2017,0.03
Aruba,ABW,2018,0.03
Aruba,ABW,2019,0.03
Aruba,ABW,2020,0.03
Aruba,ABW,2021,0.03
Aruba,ABW,2022,0.03
Asia,,2000,1.4100050000000002
Asia,,2001,2.1714119999999997
Asia,,2002,2.3949520000000004
Asia,,2003,3.58896
Asia,,2004,5.43746
Asia,,2005,6.9485
Asia,,2006,10.623893
Asia,,2007,14.211563
Asia,,2008,21.427553
Asia,,2009,32.205203000000004
Asia,,2010,47.51191000000001
Asia,,2011,67.86733000000001
Asia,,2012,85.19031
Asia,,2013,102.42939
Asia,,2014,128.13639
Asia,,2015,166.60339000000002
Asia,,2016,190.39831
Asia,,2017,212.07497
Asia,,2018,236.79719
Asia,,2019,266.12712
Asia,,2020,342.14396999999997
Asia,,2021,396.67053000000004
Asia,,2022,438.2213
Asia (IRENA),,2000,1.378605
Asia (IRENA),,2001,2.140012
Asia (IRENA),,2002,2.356552
Asia (IRENA),,2003,3.54656
Asia (IRENA),,2004,5.385560000000001
Asia (IRENA),,2005,6.87986
Asia (IRENA),,2006,10.507253
Asia (IRENA),,2007,13.991923000000002
Asia (IRENA),,2008,20.989238
Asia (IRENA),,2009,31.307889
Asia (IRENA),,2010,46.08359
Asia (IRENA),,2011,66.02680000000001
Asia (IRENA),,2012,82.80936
Asia (IRENA),,2013,99.542484
Asia (IRENA),,2014,124.336484
Asia (IRENA),,2015,161.80356
Asia (IRENA),,2016,184.18542000000002
Asia (IRENA),,2017,205.01611
Asia (IRENA),,2018,229.0938
Asia (IRENA),,2019,257.67095
Asia (IRENA),,2020,332.29838
