Entity,Code,Year,Hydro (% equivalent primary energy)
Africa,,1965,5.7402806
Africa,,1966,6.1139693
Africa,,1967,6.31658
Africa,,1968,6.994845
Africa,,1969,7.9439163
Africa,,1970,9.148895
Africa,,1971,8.07007
Africa,,1972,8.695006
Africa,,1973,8.491902
Africa,,1974,9.203637
Africa,,1975,9.183559
Africa,,1976,9.3716
Africa,,1977,9.759737
Africa,,1978,9.475388
Africa,,1979,9.308776
Africa,,1980,8.442392
Africa,,1981,7.816104
Africa,,1982,7.3362
Africa,,1983,6.4208775
Africa,,1984,6.1238065
Africa,,1985,6.5409303
Africa,,1986,6.6294746
Africa,,1987,6.16017
Africa,,1988,6.2873797
Africa,,1989,6.5919766
Africa,,1990,6.492127
Africa,,1991,6.884996
Africa,,1992,6.470675
Africa,,1993,6.321601
Africa,,1994,6.214147
Africa,,1995,6.197879
Africa,,1996,6.30146
Africa,,1997,6.322848
Africa,,1998,6.499724
Africa,,1999,6.6877394
Africa,,2000,6.963266
Africa,,2001,7.1776347
Africa,,2002,7.4021826
Africa,,2003,6.81335
Africa,,2004,6.659455
Africa,,2005,6.7200675
Africa,,2006,6.787778
Africa,,2007,6.7203817
Africa,,2008,6.4185834
Africa,,2009,6.4412365
Africa,,2010,6.715142
Africa,,2011,6.8089514
Africa,,2012,6.5357842
Africa,,2013,6.6774273
Africa,,2014,6.8261805
Africa,,2015,6.4169736
Africa,,2016,6.0345974
Africa,,2017,6.2715507
Africa,,2018,6.5150356
Africa,,2019,6.5602393
Africa,,2020,7.3725195
Africa,,2021,7.1031094
Africa,,2022,7.2615175
Africa (EI),,1965,5.7402806
Africa (EI),,1966,6.113969
Africa (EI),,1967,6.31658
Africa (EI),,1968,6.994845
Africa (EI),,1969,7.9439154
Africa (EI),,1970,9.148896
Africa (EI),,1971,8.070072
Africa (EI),,1972,8.695007
Africa (EI),,1973,8.491901
Africa (EI),,1974,9.203638
Africa (EI),,1975,9.183558
Africa (EI),,1976,9.371599
Africa (EI),,1977,9.75974
Africa (EI),,1978,9.475388
Africa (EI),,1979,9.308776
Africa (EI),,1980,8.442392
Africa (EI),,1981,7.816104
Africa (EI),,1982,7.3362
Africa (EI),,1983,6.4208775
Africa (EI),,1984,6.1238065
Africa (EI),,1985,6.5409303
Africa (EI),,1986,6.6294746
Africa (EI),,1987,6.16017
Africa (EI),,1988,6.2873797
Africa (EI),,1989,6.591977
Africa (EI),,1990,6.492127
Africa (EI),,1991,6.884996
Africa (EI),,1992,6.470675
Africa (EI),,1993,6.321601
Africa (EI),,1994,6.214147
Africa (EI),,1995,6.1978784
Africa (EI),,1996,6.30146
Africa (EI),,1997,6.322849
Africa (EI),,1998,6.499725
Africa (EI),,1999,6.687739
Africa (EI),,2000,6.963266
Africa (EI),,2001,7.1776347
Africa (EI),,2002,7.402183
Africa (EI),,2003,6.813351
Africa (EI),,2004,6.6594543
Africa (EI),,2005,6.720067
Africa (EI),,2006,6.787778
Africa (EI),,2007,6.7203817
Africa (EI),,2008,6.4185834
Africa (EI),,2009,6.4412365
Africa (EI),,2010,6.715142
Africa (EI),,2011,6.8089514
Africa (EI),,2012,6.5357842
Africa (EI),,2013,6.6774273
Africa (EI),,2014,6.8261805
Africa (EI),,2015,6.416974
Africa (EI),,2016,6.0345974
Africa (EI),,2017,6.2715507
Africa (EI),,2018,6.5150356
Africa (EI),,2019,6.5602384
Africa (EI),,2020,7.3725195
Africa (EI),,2021,7.1031084
Africa (EI),,2022,7.2615185
Algeria,DZA,1965,4.7630677
Algeria,DZA,1966,3.518747
Algeria,DZA,1967,4.291954
Algeria,DZA,1968,5.4861946
Algeria,DZA,1969,3.1827633
Algeria,DZA,1970,4.6656837
Algeria,DZA,1971,2.4559188
Algeria,DZA,1972,3.278343
Algeria,DZA,1973,4.175826
Algeria,DZA,1974,2.494738
Algeria,DZA,1975,1.3782818
Algeria,DZA,1976,1.4010222
Algeria,DZA,1977,0.8817282
Algeria,DZA,1978,0.6521151
Algeria,DZA,1979,0.5792936
Algeria,DZA,1980,0.4290016
Algeria,DZA,1981,0.50294036
Algeria,DZA,1982,0.5708701
Algeria,DZA,1983,0.25644946
Algeria,DZA,1984,0.5136736
Algeria,DZA,1985,0.72826535
Algeria,DZA,1986,0.2664045
Algeria,DZA,1987,0.5174274
Algeria,DZA,1988,0.17717436
Algeria,DZA,1989,0.2249582
Algeria,DZA,1990,0.1267387
